UID          PID    PPID  C STIME TTY          TIME CMD
root         759       1  0 10:13 ?        00:00:00 /usr/sbin/gdm3
root         810       1  0 10:13 ?        00:00:00 /usr/sbin/cups-browsed
kernoops     821       1  0 10:13 ?        00:00:00 /usr/sbin/kerneloops --test
kernoops     826       1  0 10:13 ?        00:00:00 /usr/sbin/kerneloops
rtkit        869       1  0 10:13 ?        00:00:00 /usr/libexec/rtkit-daemon
root         987       1  0 10:13 ?        00:00:00 /usr/libexec/upowerd
root        1069       1  0 10:13 ?        00:00:00 /usr/libexec/packagekitd
colord      1241       1  0 10:13 ?        00:00:00 /usr/libexec/colord
root        1303     759  0 10:13 ?        00:00:00 gdm-session-worker [pam/gdm-password]
jay         1312       1  0 10:13 ?        00:00:00 /lib/systemd/systemd --user
jay         1313    1312  0 10:13 ?        00:00:00 (sd-pam)
jay         1319    1312  0 10:13 ?        00:00:00 /usr/bin/pipewire
jay         1320    1312  0 10:13 ?        00:00:00 /usr/bin/pipewire-media-session
jay         1321    1312  0 10:13 ?        00:00:00 /usr/bin/pulseaudio --daemonize=no --log-target=journal
jay         1329       1  0 10:13 ?        00:00:00 /usr/bin/gnome-keyring-daemon --daemonize --login
jay         1333    1312  0 10:13 ?        00:00:00 /usr/bin/dbus-daemon --session --address=systemd: --nofork --nopidfile --systemd-activation --syslog-only
jay         1339    1312  0 10:13 ?        00:00:00 /usr/libexec/gvfsd
jay         1345    1312  0 10:13 ?        00:00:00 /usr/libexec/gvfsd-fuse /run/user/1000/gvfs -f
jay         1346    1312  0 10:13 ?        00:00:00 /usr/libexec/xdg-document-portal
jay         1350    1312  0 10:13 ?        00:00:00 /usr/libexec/xdg-permission-store
root        1356    1346  0 10:13 ?        00:00:00 fusermount3 -o rw,nosuid,nodev,fsname=portal,auto_unmount,subtype=portal -- /run/user/1000/doc
jay         1377    1303  0 10:13 tty2     00:00:00 /usr/libexec/gdm-wayland-session env GNOME_SHELL_SESSION_MODE=ubuntu /usr/bin/gnome-session --session=ubuntu
jay         1380    1377  0 10:13 tty2     00:00:00 /usr/libexec/gnome-session-binary --session=ubuntu
jay         1385    1312  0 10:13 ?        00:00:00 /usr/libexec/tracker-miner-fs-3
jay         1417    1312  0 10:13 ?        00:00:00 /usr/libexec/gvfs-udisks2-volume-monitor
jay         1425    1312  0 10:13 ?        00:00:00 /usr/libexec/gvfs-mtp-volume-monitor
jay         1431    1312  0 10:13 ?        00:00:00 /usr/libexec/gnome-session-ctl --monitor
jay         1436    1312  0 10:13 ?        00:00:00 /usr/libexec/gvfs-goa-volume-monitor
jay         1444    1312  0 10:13 ?        00:00:00 /usr/libexec/goa-daemon
jay         1451    1312  0 10:13 ?        00:00:00 /usr/libexec/gnome-session-binary --systemd-service --session=ubuntu
jay         1482    1312  0 10:13 ?        00:00:00 /usr/libexec/goa-identity-service
jay         1486    1312  0 10:13 ?        00:00:00 /usr/libexec/gvfs-afc-volume-monitor
jay         1493    1312  0 10:13 ?        00:00:00 /usr/libexec/gvfs-gphoto2-volume-monitor
jay         1508    1312  0 10:13 ?        00:00:46 /usr/bin/gnome-shell
jay         1509    1451  0 10:13 ?        00:00:00 /usr/libexec/at-spi-bus-launcher --launch-immediately
jay         1522    1509  0 10:13 ?        00:00:00 /usr/bin/dbus-daemon --config-file=/usr/share/defaults/at-spi2/accessibility.conf --nofork --print-address 11 --address=unix:path=/run/user/1000/at-spi/bus
jay         1555    1312  0 10:13 ?        00:00:00 /snap/snapd-desktop-integration/14/bin/snapd-desktop-integration
jay         1604    1312  0 10:13 ?        00:00:00 /usr/libexec/gnome-shell-calendar-server
jay         1617    1312  0 10:13 ?        00:00:00 /usr/libexec/evolution-source-registry
jay         1625    1312  0 10:13 ?        00:00:00 /usr/libexec/xdg-desktop-portal
jay         1631    1312  0 10:13 ?        00:00:00 /usr/libexec/xdg-desktop-portal-gnome
jay         1637    1312  0 10:13 ?        00:00:00 /usr/libexec/evolution-calendar-factory
jay         1646    1312  0 10:13 ?        00:00:00 /usr/libexec/dconf-service
jay         1653    1312  0 10:13 ?        00:00:00 /usr/libexec/evolution-addressbook-factory
jay         1667    1339  0 10:13 ?        00:00:00 /usr/libexec/gvfsd-trash --spawner :1.2 /org/gtk/gvfs/exec_spaw/0
jay         1677    1312  0 10:13 ?        00:00:00 /usr/libexec/at-spi2-registryd --use-gnome-session
jay         1683    1312  0 10:13 ?        00:00:00 /usr/bin/gjs /usr/share/gnome-shell/org.gnome.Shell.Notifications
jay         1690    1312  0 10:13 ?        00:00:00 sh -c /usr/bin/ibus-daemon --panel disable $([ "$XDG_SESSION_TYPE" = "x11" ] && echo "--xim")
jay         1691    1312  0 10:13 ?        00:00:00 /usr/libexec/gsd-a11y-settings
jay         1692    1312  0 10:13 ?        00:00:00 /usr/libexec/gsd-color
jay         1695    1690  0 10:13 ?        00:00:04 /usr/bin/ibus-daemon --panel disable
jay         1698    1312  0 10:13 ?        00:00:00 /usr/libexec/gsd-datetime
jay         1699    1312  0 10:13 ?        00:00:00 /usr/libexec/gsd-housekeeping
jay         1700    1312  0 10:13 ?        00:00:00 /usr/libexec/gsd-keyboard
jay         1703    1312  0 10:13 ?        00:00:00 /usr/libexec/gsd-media-keys
jay         1704    1312  0 10:13 ?        00:00:00 /usr/libexec/gsd-power
jay         1708    1312  0 10:13 ?        00:00:00 /usr/libexec/gsd-print-notifications
jay         1711    1312  0 10:13 ?        00:00:00 /usr/libexec/gsd-rfkill
jay         1712    1312  0 10:13 ?        00:00:00 /usr/libexec/gsd-screensaver-proxy
jay         1715    1312  0 10:13 ?        00:00:00 /usr/libexec/gsd-sharing
jay         1721    1312  0 10:13 ?        00:00:00 /usr/libexec/gsd-smartcard
jay         1726    1312  0 10:13 ?        00:00:00 /usr/libexec/gsd-sound
jay         1728    1312  0 10:13 ?        00:00:00 /usr/libexec/gsd-wacom
jay         1749    1451  0 10:13 ?        00:00:00 /usr/libexec/evolution-data-server/evolution-alarm-notify
jay         1760    1695  0 10:13 ?        00:00:00 /usr/libexec/ibus-memconf
jay         1761    1695  0 10:13 ?        00:00:01 /usr/libexec/ibus-extension-gtk3
jay         1768    1312  0 10:13 ?        00:00:00 /usr/libexec/ibus-portal
jay         1770    1451  0 10:13 ?        00:00:00 /usr/libexec/gsd-disk-utility-notify
jay         1817    1312  0 10:13 ?        00:00:00 /usr/libexec/gsd-printer
jay         1846    1695  0 10:13 ?        00:00:01 /usr/libexec/ibus-engine-simple
jay         1861    1312  0 10:13 ?        00:00:00 /usr/libexec/xdg-desktop-portal-gtk
jay         1884    1312  0 10:13 ?        00:00:00 /usr/bin/gjs /usr/share/gnome-shell/org.gnome.ScreenSaver
jay         1926    1312  0 10:13 ?        00:00:00 /usr/libexec/gvfsd-metadata
root        2037       1  0 10:14 ?        00:00:12 /usr/lib/snapd/snapd
jay         2178    1451  0 10:14 ?        00:00:00 update-notifier
jay         2499    1312  0 10:15 ?        00:00:00 /usr/bin/python3 /usr/bin/gnome-terminal --wait
jay         2502    2499  0 10:15 ?        00:00:00 /usr/bin/gnome-terminal.real --wait
jay         2507    1312  0 10:15 ?        00:00:12 /usr/libexec/gnome-terminal-server
jay         2525    2507  0 10:15 pts/0    00:00:00 bash
root        3041       2  0 11:04 ?        00:00:04 [kworker/0:1-events]
jay         3320    1312  0 12:02 ?        00:00:00 /usr/bin/gnome-calendar --gapplication-service
jay         3322    1312  0 12:02 ?        00:00:00 /usr/bin/seahorse --gapplication-service
jay         3694    1508  0 12:10 ?        00:00:00 /usr/bin/Xwayland :0 -rootless -noreset -accessx -core -auth /run/user/1000/.mutter-Xwaylandauth.BODYS1 -listen 4 -listen 5 -displayfd 6 -initfd 7
jay         3697    1312  0 12:10 ?        00:00:00 /usr/libexec/gsd-xsettings
jay         3725    1312  0 12:10 ?        00:00:00 /usr/libexec/ibus-x11
root        3913       2  0 12:19 ?        00:00:00 [kworker/u2:1-events_unbound]
root        4042       2  0 12:51 ?        00:00:00 [kworker/u2:2-events_power_efficient]
jay         4074    1508  0 12:52 ?        00:00:00 gjs /usr/share/gnome-shell/extensions/ding@rastersoft.com/ding.js -E -P /usr/share/gnome-shell/extensions/ding@rastersoft.com -M 0 -D 0:0:800:600:1:27:0:0:0:0
jay         4348    2525  0 12:59 pts/0    00:00:00 ps -ef
